,dg_id,player_name,12_mo_long_game,12_mo_short_game,#_of_rounds,tour
438,19960,"Pavon, Matthieu",0.2548591225600582,-0.12117038277374638,101.0,pga
441,20353,"Whitney, Tom",-0.03307165988998074,-1.2098217456369251,63.0,pga
443,20519,"Tarren, Callum",-0.594684392225542,-0.9611908986179695,72.0,pga
446,20706,"Wallace, Matt",-0.00844192917660466,0.4237487038952351,106.0,pga
447,20722,"Schmid, Matti",0.1264103823903497,-0.03363108237440623,118.0,pga
449,20730,"Perez, Victor",0.4673514076890952,0.20120112313494823,100.0,pga
451,20770,"Munoz, Sebastian",0.4631352225953889,-0.3043611637739595,62.0,pga
458,21236,"Bryan, Wesley",-0.15931122695528208,-0.26743418355748755,54.0,pga
459,21237,"Hickok, Kramer",-0.19941959414645913,-0.2617694053086998,87.0,pga
462,21554,"Poston, J.T.",0.09386518017681715,0.4939696306042859,89.0,pga
464,21688,"Kim, S.H.",-0.8950796316884849,0.6391081192924185,102.0,pga
465,21756,"Cole, Eric",-0.03099853119952809,0.4317099914719023,111.0,pga
467,21880,"Cone, Trevor",0.13504686939893917,-0.8439775489132114,76.0,pga
468,21891,"Kitayama, Kurt",1.2404033731737325,-0.2940292187753775,79.0,pga
469,21943,"Lebioda, Hank",-0.6733499032631144,-0.6554333450539955,60.0,pga
470,21944,"Moore, Taylor",0.006882498824451991,0.33062998369650437,93.0,pga
471,21995,"Springer, Hayden",-0.14296634424265328,0.08015758263793715,69.0,pga
472,22002,"Dumont de Chassart, Adrien",-0.9870044860720029,-0.4643683389318649,73.0,pga
473,22050,"Suh, Justin",-0.6329365798958897,0.22914596651928673,82.0,pga
474,22051,"Wise, Aaron",-0.2398150740736504,0.49669549352182274,68.0,pga
475,22085,"Morikawa, Collin",1.0542384712897668,0.5742158542778917,87.0,pga
481,22535,"Norrman, Vincent",0.09917122129383381,-1.2979113742857165,78.0,pga
484,22760,"Hisatsune, Ryo",0.10332836941000391,-0.01690398438178059,107.0,pga
485,22833,"Echavarria, Nico",-0.10790445308220327,-0.17622882864571066,96.0,pga
486,22914,"Grant, Brent",0.0859989546207574,-1.9509620545686608,73.0,pga
487,22981,"Matthews, Brandon",-0.5132330140168706,-1.6033874216626252,53.0,pga
488,22985,"Smotherman, Austin",0.6130927255762745,-0.7726618048822002,62.0,pga
489,23014,"Theegala, Sahith",0.6204481585544908,0.38353376431243746,97.0,pga
490,23048,"Stanger, Jimmy",-0.28337931967952407,-0.4130662659754262,39.0,pga
492,23323,"MacIntyre, Robert",0.3708858437407479,0.40226899062898497,99.0,pga
495,23465,"Greyserman, Max",0.2206884439683824,0.5589900621497829,81.0,pga
496,23475,"Novak, Andrew",0.538603289264208,-0.0035201078293998923,86.0,pga
497,23482,"Sigg, Greyson",0.3000613172063962,-0.20408683166317737,82.0,pga
499,23504,"Hoey, Rico",0.5867655430562688,-0.35685526778303095,85.0,pga
502,23542,"Champ, Cameron",-0.07110640249109755,-0.30239960186420767,70.0,pga
504,23599,"Westmoreland, Kyle",-1.6303552071659162,-1.0756493210581315,36.0,pga
505,23602,"Hojgaard, Nicolai",0.3231592939586086,-0.16365333760284717,97.0,pga
506,23604,"Clark, Wyndham",0.5790473991196029,0.48206145101460773,79.0,pga
508,23656,"Young, Carson",0.39731801470310363,-0.37000380308735736,88.0,pga
511,23816,"Valimaki, Sami",-0.16613746197017068,-0.1896047014615263,90.0,pga
513,23950,"Aberg, Ludvig",1.4348545636846401,0.2653058781849952,83.0,pga
516,24342,"Higgo, Garrick",-0.7809488189374872,-0.09638344897099074,72.0,pga
518,24354,"Xiong, Norman",-0.598576982752546,-0.12506131239824445,38.0,pga
520,24481,"Redman, Doc",-0.08060584878451835,-0.36599049377241266,79.0,pga
521,24550,"Ghim, Doug",1.031467963514386,-0.22323300545547223,92.0,pga
523,24766,"Kim, Tom",0.7369808927655134,0.08711845800846217,94.0,pga
526,24968,"Griffin, Ben",0.10118363707918308,0.5913724229296575,116.0,pga
527,25002,"Wu, Dylan",-0.24995128073445616,0.027932220409331295,84.0,pga
529,25094,"Fishburn, Patrick",0.4015197345534164,-0.00986150749381278,69.0,pga
532,25157,"Hodges, Lee",0.4473711948265894,-0.46640827930571793,90.0,pga
533,25213,"Wu, Brandon",-0.49503999076692434,-0.12778352102863577,89.0,pga
537,25363,"Buckley, Hayden",-0.2733710266967595,-0.5064472277521841,79.0,pga
538,25442,"Montgomery, Taylor",-1.7214494870839274,1.0232244970624123,61.0,pga
540,25569,"Stevens, Sam",-0.11055536275829722,0.4428061225893924,96.0,pga
544,25771,"Furr, Wilson",-0.7921679983862694,-0.214702390854277,56.0,pga
547,25908,"Whaley, Vince",-0.952551871899217,0.8222675493280434,80.0,pga
548,25919,"Wolff, Matthew",-0.7919001758935627,0.3990221012050567,63.0,pga
551,26096,"Bhatia, Akshay",0.5918735939419001,0.3892880570742867,93.0,pga
560,26649,"Thorbjornsen, Michael",-0.27885056800179514,0.2838042008883715,33.0,pga
561,26651,"Young, Cameron",0.8577625935637873,-0.1728425251782548,89.0,pga
562,26653,"Eckroat, Austin",0.7972161870886194,-0.3139526999552252,95.0,pga
564,26660,"Gordon, Will",0.04300859565201361,-0.7243601197925281,47.0,pga
572,27164,"Phillips, Chandler",0.006613421849760983,0.29003356990726337,79.0,pga
574,27194,"Hall, Harry",-0.1518475974343657,0.6343797669633426,93.0,pga
575,27364,"Thompson, Davis",0.529711689956568,0.444242095352778,98.0,pga
580,27774,"Gotterup, Chris",-0.2138739868779013,0.007488669371958749,76.0,pga
581,27780,"Crowe, Trace",-0.34865950686464786,0.0044150031694532264,68.0,pga
583,27820,"Pak, John",-0.9758990062505979,-0.572182423229233,27.0,pga
584,27870,"Coody, Parker",-0.03394795364518505,-0.46783188176539015,60.0,pga
588,28158,"Bennett, Sam",-0.2824634499559691,-0.09617860597375931,31.0,pga
589,28159,"Meissner, Mac",0.4553413380880997,0.1455606593881222,79.0,pga
590,28270,"Dunlap, Nick",0.09701946307370687,0.07397751324852345,79.0,pga
591,28309,"Coody, Pierceson",-0.4485147761759997,0.2625733665263427,73.0,pga
592,28469,"Highsmith, Joe",-0.09237254132163754,-0.22608388790727302,68.0,pga
593,28558,"Werbylo, Trevor",-0.5928936408880463,-0.49736299876409595,66.0,pga
602,29433,"Bridgeman, Jacob",-0.3330374516797019,0.6627163848516058,74.0,pga
603,29767,"Gerard, Ryan",-0.06405228680701192,-0.46069631958534385,67.0,pga
620,32055,"Shipley, Neal",0.9158470842271487,-0.3946508875807292,34.0,pga
623,32330,"Clanton, Luke",1.574398862830886,-0.35700299308050554,26.0,pga
